itemType,title,date,checkOutTimes,checkOutDuration
accd,man who sold the world,2006/08,35,23.35
accd,Outside,2006/08,21,16.7857
accd,Reality,2006/08,12,2.6667
accd,rise and fall of Ziggy Stardust and the spiders from Mars,2006/08,29,24.0714
accd,Scary monsters,2006/08,17,21.6667
accd,Space oddity,2006/08,31,11.4
accd,Stage,2006/08,19,20.6364
accd,Station to station,2006/08,30,15.1429
accd,Young Americans,2006/08,31,15.55
accd,Aladdin sane,2006/09,25,10.4118
accd,Best of Bowie,2006/09,33,13
accd,Bowie at the Beeb the best of the BBC radio sessions 68 72,2006/09,23,39.9375
accd,ChangesBowie,2006/09,19,20.1818
accd,David live,2006/09,13,9.6667
accd,Diamond dogs,2006/09,30,10.4
accd,Earthling,2006/09,8,27.8333
accd,Heathen,2006/09,10,26.6667
accd,Heroes,2006/09,10,15.8333
accd,Hunky dory,2006/09,31,13.1905
accd,Lodger,2006/09,14,15.5
accd,Low,2006/09,25,10.8667
accd,man who sold the world,2006/09,20,26.2308
accd,Outside,2006/09,23,15.2
accd,Reality,2006/09,14,17.3333
accd,rise and fall of Ziggy Stardust and the spiders from Mars,2006/09,33,14.7368
accd,Scary monsters,2006/09,27,29.375
accd,Space oddity,2006/09,18,24.4167
accd,Stage,2006/09,16,18
accd,Station to station,2006/09,32,14.375
accd,Young Americans,2006/09,18,12.3636
accd,Aladdin sane,2006/10,24,13
accd,Best of Bowie,2006/10,56,15.1053
accd,Bowie at the Beeb the best of the BBC radio sessions 68 72,2006/10,32,17.7619
accd,ChangesBowie,2006/10,20,25.2308
accd,David live,2006/10,19,18.2727
accd,Diamond dogs,2006/10,25,15.4286
accd,Earthling,2006/10,8,22.25
accd,Heathen,2006/10,13,18.625
accd,Heroes,2006/10,20,21.375
accd,Hunky dory,2006/10,26,26.7222
accd,Lodger,2006/10,19,24.0833
accd,Low,2006/10,31,14.1875
accd,man who sold the world,2006/10,27,15.3333
accd,Outside,2006/10,22,12.2143
accd,Reality,2006/10,13,18.5
accd,rise and fall of Ziggy Stardust and the spiders from Mars,2006/10,38,24.3478
accd,Scary monsters,2006/10,29,10.1176
accd,Space oddity,2006/10,23,10.4
accd,Stage,2006/10,14,25.125
accd,Station to station,2006/10,21,16.4
accd,Young Americans,2006/10,23,47.9091
accd,Aladdin sane,2006/11,22,21.9333
accd,Best of Bowie,2006/11,49,14.5
accd,Bowie at the Beeb the best of the BBC radio sessions 68 72,2006/11,21,39.0769
accd,ChangesBowie,2006/11,13,14.75
accd,David live,2006/11,17,11.2857
accd,Diamond dogs,2006/11,28,14.5
accd,Earthling,2006/11,7,20.25
accd,Heathen,2006/11,20,18.1538
accd,Heroes,2006/11,15,12.2
accd,Hunky dory,2006/11,17,13.3333
accd,Lodger,2006/11,18,8.7
accd,Low,2006/11,25,37.8667
accd,man who sold the world,2006/11,24,15.6364
accd,Outside,2006/11,17,16.1818
accd,Reality,2006/11,9,21.6
accd,rise and fall of Ziggy Stardust and the spiders from Mars,2006/11,45,14.9286
accd,Scary monsters,2006/11,30,21.6667
accd,Space oddity,2006/11,32,15.9545
accd,Stage,2006/11,16,13.375
accd,Station to station,2006/11,32,14.2
accd,Young Americans,2006/11,32,13.45
accd,Aladdin sane,2006/12,24,8.1333
accd,Best of Bowie,2006/12,40,22.5833
